Za Sedmidomky;0;10000;all;Základní škola Eden, Praha 10, Vladivostocká 1035/6, příspěvková organizace;Městská část Praha 10
Bulharská;1; 25;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Dykova;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Estonská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Finská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Heroldovy sady;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Holandská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Hradešínská;1; 61;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Chorvatská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Kodaňská;1; 63;odd;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Kodaňská;2; 32;even;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Korunní;1; 107;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Korunní;109;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Madridská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Mexická;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Moskevská;2; 64;even;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Moskevská;1; 57;odd;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Na Šafránce;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
náměstí Svatopluka Čecha;1; 6;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Nitranská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Norská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Ruská;2; 58;even;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Ruská;1; 43;odd;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Říčanská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Řipská;1; 7;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Slovenská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Slovinská;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Sobotecká;0;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Žitomírská;15;10000;all;Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace;Městská část Praha 10
Bečvářova;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Brigádníků;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Černokostelecká;0;10000;even;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Dětská;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Dvouletky;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
K Rybníčkům;28;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Kralická;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Nad Primaskou;31;10000;odd;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Nad Primaskou;22;10000;even;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Nosická;18;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Novostrašnická;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Pod hotelem;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Podle trati;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Průmyslová;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Saratovská;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Sazečská;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
