IZO;Je základní;adresa1;adresa2;adresa3
#181085887;FALSE;(pozemek s parcelním číslem 418/11);Hradec Králové - katastrální území Kluky
#181085887;FALSE;(pozemek s parcelním číslem 418/13);Hradec Králové - katastrální území Kluky
#181127857;FALSE;(pozemek s parcelním číslem 418/11);Hradec Králové - katastrální území Kluky
#181085909;FALSE;Panský les;417 12 Proboštov
#181086212;FALSE;pozemek p. č. 970 (k. ú. Babice nad Svitavou);obec Babice nad Svitavou,
#181086310;FALSE;pozemek p.č. 413;266 01 Trubská
#181086662;FALSE;pozemek p. č. st. 74 (k. ú. Nýrov);obec Nýrov
#181117479;FALSE;36;403 21 Ústí nad Labem
#181086760;FALSE;pozemek p. č. 2152/13 a p. č. 2152/14 (k. ú. Žebětín);obec Brno
#181121794;FALSE;pozemek p. č. 2152/14 (k.ú. Žebětín);635 00 Brno
#181086778;FALSE;U Lesa parc. č. 474/2;252 45 Zvole
#181086905;FALSE;pozemek p. č. 5263/1 a p. č. 5263/2 (vše v k. ú. Líšeň);a p. č. 5263/3 a p. č. 5263/4; obec Brno
#181086964;FALSE;pozemek p. č. 5179/2 a p. č. 5179/3 (k. ú. Žabovřesky);obec Brno
#181132907;FALSE;pozemek p. č. 5179/3 (k. ú. Žabovřesky);616 00 obec Brno
#181088002;FALSE;(katastrální území Podhůří-Harta, parcela č. 562);Vrchlabí
#181088002;FALSE;(katastrální území Podhůří-Harta, parcela č. 557);Vrchlabí
#181087448;FALSE;739 23 Stará Ves nad Ondřejnicí
#181087456;FALSE;739 23 Stará Ves nad Ondřejnicí
#181087693;FALSE;Lety pod lesem parc. č. 1858/1;Černošice;252 29 Lety u Dobřichovic
#181087723;FALSE;Lety pod lesem parc. č. 1858/1;252 29 Lety u Dobřichovic
#181087766;FALSE;parc. č. 113/34 a 113/35;289 13 Písty u Nymburka
#181087766;FALSE;parc. č. 418/18;288 02 Nymburk
#181087812;FALSE;pozemek p. č. 1026/1 (k. ú. Bílovice nad Svitavou);obec Bílovice nad Svitavou
#181088037;FALSE;Třísov, parcelní čísla 2325 a 1106/9/20;382 03 Holubov
#181088037;FALSE;Srubec, parcelní čísla 844/22 a 844/23/20;370 06 Srubec
#181122791;FALSE;Třísov parcelní čísla 2325 a 1106/9;382 03 Holubov
#181122791;FALSE;Srubec parcelní čísla 844/22 a 844/23;370 06 Srubec
#181088088;FALSE;k. ú. Orlov, parc. č. 271;261 01 Příbram
#181088177;FALSE;pozemek p. č. 74/1 a p. č. 72/1 (k. ú. Mokrá Hora);obec Brno
#181118785;FALSE;pozemek p.č. 73 a p.č. 74/1 (k. ú. Mokrá Hora);obec Brno
#181088223;FALSE;parcelní číslo 3196;460 01 Liberec
#181118629;FALSE;parcelní číslo 3196;460 01 Liberec
#181088347;FALSE;ulice K Brnkám;184 00 Praha 8 - Dolní Chabry
#181088584;FALSE;Zámecká, parc. č. 16/12;250 64 Měšice
#181088614;FALSE;parcelní číslo 2181/1;Vlčice
#181088975;FALSE;(k. ú. Záhořice);364 52 Žlutice
#181088975;FALSE;(k. ú. Pastviny);351 24 Hranice u Aše
#181126265;FALSE;Ke Smíchovu 112/80, Slivenec;Praha 5
#181089726;FALSE;parc. č. 320/1;278 01 Kralupy nad Vltavou - Minice
#181089734;FALSE;parc. č. 320/1;278 01 Kralupy nad Vltavou - Minice
#181091534;FALSE;pozemek p. č. 297/2 (k.ú. Březina u Křtin);obec Březina
#181093511;FALSE;Srbská Kamenice 54;407 15 Srbská Kamenice
#181093529;FALSE;Srbská Kamenice 182;407 15 Srbská Kamenice
#181093961;FALSE;Modrá
#181094118;FALSE;parcelní číslo 1291/7 (k.ú. Slavonín);obec Olomouc
#181094126;FALSE;parcelní číslo 1601/7, 1601/8 (k.ú. Horka nad Moravou);obec Horka nad Moravou
#181094126;FALSE;parcelní číslo 1601/6 (k.ú. Horka nad Moravou);obec Horka nad Moravou
#181095866;FALSE;parcelní číslo 570;330 07 Druztová
#181096293;FALSE;parcelní číslo 2925/7;323 00 Plzeň (k. ú. Bolevec)
#181097117;FALSE;parcelní číslo 205;779 00 obec Olomouc (k.ú. Řepčín)
#181099535;FALSE;parc. č. 3422/70;284 01 Kutná Hora
#181121611;FALSE;parc.č. 3422;284 01 Kutná Hora
#181102196;FALSE;V Podbabě 2602/29b Praha 6;k.ú. Dejvice, par.č. 2415/1
#181121671;FALSE;V Podbabě 2602/29b, Praha 6;k.ú.Dejvice, par.č. 2415/1
#181102358;FALSE;List vlastnictví 3410 (parcelní číslo: 7006/1 a 6995/1 - KÚ 641146);534 01 Holice
#181129434;FALSE;parcelní číslo: 7006/1 a 6995/1 - KÚ 641;534 01 Holice
#181104369;FALSE;parcelní číslo 2925/1;323 00 Plzeň (k.ú. Bolevec)
#181106213;FALSE;Husova;252 28 Černošice
#181106221;FALSE;Husova;252 28 Černošice
#181109816;FALSE;parcelní číslo 1293;333 01 Stod (k.ú. Lelov)
#181110431;FALSE;Vrablovec (parcela 2747/1,2,3,4);736 01 Ludgeřovice
#181126087;FALSE;Malé Nepodřice, parcelní číslo 2724;397 01 Dobev
#181126095;FALSE;Malé Nepodřice, parcelní číslo 2724;397 01 Dobev
#181113074;FALSE;pozemek p. č. 1093/8, p. č. 1093/9;p. č. 1093/10, vše v k.ú. Podolí u Brna
#181117827;FALSE;pozemek p.č. 606/6 (k. ú. Předklášteří);666 02 Obec Předklášteří
#181118068;FALSE;pozemek p. č. 1858/1;k. ú. Třebechovice pod Orebem
#181118068;FALSE;pozemky p. č. 481/1, 479/1;k. ú. Třebechovice pod Orebem
#181120429;FALSE;pozemek p. č. 1858/1;k. ú. Třebechovice pod Orebem
#181118335;FALSE;pozemek p. č 874, p. č. 875 (k.ú. Pozořice);664 07 Městys Pozořice
#181131935;FALSE;pozemek p. č. 875 (k. ú. Pozořice);664 07 Městys Pozořice
#181119226;FALSE;č. parcely 331/5 a 332;161 00 Praha 6,    k. ú. Ruzyně
#181120259;FALSE;č. parcely 2397/2;102 00 Praha 15,  k. ú. Hostivař
#181120259;FALSE;území ped. programu č. parcely 2398/2;102 00 Praha 15,  k. ú. Hostivař
#181120984;FALSE;Parcela číslo 653/1;561 51 Letohrad
#181120984;FALSE;Parcelní číslo 167/1;561 51 Letohrad
#181121204;FALSE;č.p. (parc. č. 231/1);739 53 Komorní Lhotka
#181121212;FALSE;(parc. č. 231/1);739 53 Komorní Lhotka
#181121310;FALSE;parc. č. 41/5;277 14 Borek
#181121328;FALSE;parc. č. 59;277 14 Borek
#181121689;FALSE;pozemek p. č. 5107 (k. ú. Líšeň);628 00 obec Brno
#181121697;FALSE;pozemek p. č. 5106, p. č. 5107 (k. ú. Líšeň);628 00 obec Brno
#181123207;FALSE;Chodecká;160 00 Praha
#181123215;FALSE;Chodecká;160 00 Praha
#181125382;FALSE;Sýkorka 552/1;763 14 Velíková
#181125901;FALSE;Ke Kútám;739 42 Chlebovice
#181125951;FALSE;(parcelní čísla 2906/1 a 2906/2);742 66 Štramberk
#181125960;FALSE;(parcelní čísla 2906/1 a 2906/2);742 66 Štramberk
#181126061;FALSE;KÚ Ďáblice parc. č. 1553;Praha 8
#181126664;FALSE;pozemek p.č. 1600/2 (k.ú. Pisárky);623 00 obec Brno
#181127067;FALSE;část pozemku p. č. 579 o výměře 1.000 m2;360 07 Karlovy Vary, k.ú. Doubí u Karlových Var
#181127075;FALSE;část pozemku p. č. 579 o výměře 1.000 m2;360 07 Karlovy Vary, k.ú. Doubí u Karlových Var
#181127733;FALSE;parc. č. 857, 858;277 13 Záryby
#181127741;FALSE;parc. č. 858;277 13 Záryby
#181128004;FALSE;pozemek p.č. 438/5 (k. ú. Klepačov);678 01 obec Klepačov
#181133181;FALSE;pozemek p.č. 438/5 (k. ú. Klepačov);678 01 obec Klepačov
#181128543;FALSE;č.ev. (parc. č. 537/6);739 14 Ostravice
#181131161;FALSE;U tenisu (bez č.p.), č. parcely 1890;150 00 Praha 5, k. ú. Košíře
#181131170;FALSE;U tenisu (bez č.p.), č. parcely 1890;150 00 Praha 5, k. ú. Košíře
#181132231;FALSE;(parc. číslo 2305/4);739 41 Palkovice
#181132249;FALSE;(parč. č. 2305/4);739 41 Palkovice
#181132893;FALSE;Ke Trojici, sad na pozemku parc.č.4361/;284 01 Kutná Hora
#181133105;FALSE;zahrada na ulici Lubina (parc. č. 2760/2);744 01 Frenštát pod Radhoštěm
#181133148;FALSE;U Červeného dvora, parcelní číslo 2427;370 08 České Budějovice
#181133164;FALSE;U Červeného dvora, parcelní číslo 2427;370 08 České Budějovice
#181133245;FALSE;(parcelní číslo 394/2);742 57 Libhošť
#181133725;FALSE;pozemek p. č. 532/1 o výměře 1.000 m2;k. ú. Cheb
#181133733;FALSE;pozemek p. č. 532/1 o výměře 1.000 m2;k. ú. Cheb
