IZO;Je základní;adresa1;adresa2;adresa3
#161100473;FALSE;Raisova 333;461 41 Tanvald
#161100473;FALSE;Tyršova 409;593 01 Bystřice pod Pernštejnem
#045241945;FALSE;Tři Studně - Tábor "Vysočina", čp. 45;592 04 Fryšava pod Žákovou horou
#181053179;FALSE;Lidická 86;796 01 Prostějov
#181068397;FALSE;V Zahrádkách 48 1966;130 00 Praha 3
#181068401;FALSE;V Zahrádkách 48 1966;130 00 Praha 3
#181067285;FALSE;Suchdolská 360;165 00 Praha 6 - Suchdol
#107502976;FALSE;U Pergamenky 1144 1a;170 00 Praha 7
#181113821;FALSE;park Stromovka, p.č. 2242; p.č. 2416/60;Praha 7
#181126036;FALSE;park Stromovka, p.č. 2242;.č.2416/60;Praha 7
#000064289;FALSE;Podhradí-Sechov 33;584 01 Kožlí
#000064289;FALSE;Střemy;277 31 Lhotka u Mělníka
#102501041;FALSE;Lesní ulice  211;542 25 Janské Lázně
#102501041;FALSE;Lesní ulice 210;542 25 Janské Lázně
#102501050;FALSE;Lesní ulice  211;542 25 Janské Lázně
#150006390;FALSE;Ronovská 526;190 17 Praha 9 - Vinoř
#112800092;FALSE;Ronovská 526;190 17 Praha 9 - Vinoř
#112800092;FALSE;Prachovická 340;190 17 Praha 9 - Vinoř
#102473447;FALSE;Ronovská 526;190 17 Praha 9 - Vinoř
#045243581;TRUE;Novoškolská 89;190 00 Praha 9 - Vysočany
#048132489;FALSE;Chotouňská 717/1a;108 00 Praha 10 - Malešice
#102485691;FALSE;Chotouňská 717/1a;108 00 Praha 10 - Malešice
#107504324;FALSE;Mrštíkova 23 205;101 00 Praha 10
#181051532;FALSE;Mrštíkova 23 205;101 00 Praha 10
#007511001;FALSE;č.p. 934;267 16 Vysoký Újezd
#181130947;FALSE;č.p. 934;267 16 Vysoký Újezd
#181120968;FALSE;K Lesu, parc. č. 88/65;273 51 Svárov
#181068524;FALSE;Třebízského 523;278 01 Kralupy nad Vltavou
#113600356;FALSE;č.p. 252;294 15 Klášter Hradiště nad Jizerou
#102802602;FALSE;č.p. 252;294 15 Klášter Hradiště nad Jizerou
#113600607;FALSE;č.p. 160;294 78 Dolní Slivno
#107515954;FALSE;Lánská 993;250 64 Hovorčovice
